"iso","scope","quintile","gender","population","population_perc","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house","access_water_piped_plot","access_water_other_min","access_water_other_max","access_water_daily","access_san_exclusive","access_sewer","access_septic","access_latrine_min","access_latrine_max","access_sewer_exclusive","access_septic_exclusive","access_latrine_exclusive_min","access_latrine_exclusive_max","access_water_piped_house_daily","access_water_piped_plot_daily","hygiene_defecation","access_latrines_unimproved_min","access_latrines_unimproved_exclusive_min","access_water"
"ARG","country","total","all",44938712,1,NA,NA,NA,NA,0.87710272326742,0.0194718897853155,0.10048413134711,0.102160678626952,NA,0.97180509745748,0.70029680507295,0.207033547175167,0,0.0873036507928036,0.685641721018481,0.202080914101678,0,0.082598382510928,NA,NA,0.00378955018275694,0.00157644677632263,0.00148407982639376,0.998735291679688
"BOL","country","total","all",11513100,1,NA,NA,NA,NA,0.359548106759161,0.300844527393811,0.193533513188925,0.193533513188925,0.578852866562543,0.656250331877167,0.473786786263802,0.128312628541927,0.154948151421914,0.154948151421914,0.352642905348129,0.0898158333739399,0.126521982730045,0.126521982730045,0.304883814608015,0.270143821442456,0.144411798365962,0.0985406354063949,0.0872696104250529,0.853926147341897
"BRA","country","total","all",211049527,1,NA,NA,NA,NA,0.845770899553377,0.0111047960594874,0.027412407850964,0.129847346760098,0.778493075850802,0.978245029114284,0.62295060315717,0.245685547849847,0,0.0919700262877365,0.62214273790592,0.242665214079697,0,0.0855409911976101,0.751564306029339,0.00794573248007536,0.00596667751803084,0.0334271451872148,0.0278960859310563,0.986723042372962
"CHL","country","total","all",18952038,1,NA,NA,NA,NA,0.917757662282434,0.0185582013138892,0,0.0384277374762172,NA,NA,0.868698067826284,0.0838707194357843,0.0409182036334917,0.0409182036334917,NA,NA,NA,NA,NA,NA,0.00559189906415082,0.000921110040289275,NA,0.97474360107254
"COL","country","total","all",50339443,1,NA,NA,NA,NA,NA,0.852209125713446,0.0276280273049903,0.0774286649981613,0.711917065002069,0.912200835726738,0.763030335810454,0.154673922285367,0,0.045815228025221,0.715603904931923,0.146828981525357,0,0.0425123002063126,NA,0.702554797825942,0.0290725843350665,0.0074079295438918,0.0072556490631448,0.929637790711607
"CRI","country","total","all",5047561,1,NA,NA,NA,NA,0.94230221235793,0.0123786769908756,0,0.0416293927462016,NA,0.988921881333498,0.231743356490657,0.7516810884988,0,0.0108463106342895,0.229427837583254,0.748018265448372,0,0.0101732989164575,NA,NA,0.192013893113444,-0.186284648737191,0.00130247938541406,0.996310282095007
"DOM","country","total","all",10738958,1,NA,NA,NA,NA,0.672119848819479,0.190636545704367,0.0358444095581435,0.0930875050251179,NA,0.916545727600153,0.219718795520037,0.607561333058846,0,0.157585060112794,0.213055247792429,0.589334683880486,0,0.114155795927238,NA,NA,0.0151348113083226,0,0,0.955843899548964
"ECU","country","total","all",17373662,1,NA,NA,NA,NA,0.719707298491906,0.104460927875209,0.00809932550196142,0.117873604214379,NA,0.876092696426601,0.660549598412112,0.233203290217239,0.0612700005040314,0.0612700005040314,0.604606064040488,0.206740786924476,0.0560413648508181,0.0560413648508181,NA,NA,0.0236873556016779,0.0212897552649396,0.00870448061081863,0.942041830581494
"GTM","country","total","all",16604026,1,NA,NA,NA,NA,0.603626065699284,0.156118257156589,0.0650536136938067,0.213656496668657,NA,NA,0.443219231232616,0.0835124774747348,0,0.350330025093566,NA,NA,NA,NA,NA,NA,0.0333794958227049,0.0895587703763776,NA,0.973400819524531
"HND","country","total","all",9746117,1,NA,NA,NA,NA,0.476392211073003,0.381789171128857,0.00293690262543772,0.05163340102176,NA,0.846132964733009,0.374669958083831,0.225858852902393,0.263636775008589,0.263636775008589,0.341680580534629,0.211703503362014,0.232499342989375,0.232499342989375,NA,NA,0.0628336319455929,0.0730007820595941,0.0602495378469911,0.90981478322362
"JAM","country","total","all",2948279,1,NA,NA,NA,NA,0.490475006161005,0.189679035508082,0.194274359729718,0.225371049765211,NA,0.818209650421124,0.201625171675464,0.564683351387456,0,0.217711934591516,0.171892380763046,0.478348272566464,0,0.165375425949727,NA,NA,0.0127628452697232,0.00321669707584082,0.00259357114188741,0.905525091434298
"MEX","country","total","all",127575529,1,NA,NA,NA,NA,0.741048924187774,0.187964317441525,0.00565949143840673,0.0457653570094971,0.652721364089459,0.905101244162511,0.765568666959199,0.175171503272805,NA,NA,0.710996039754763,0.156528982249957,NA,NA,0.55684764271898,0.0958737213704789,0.0476464432768075,NA,NA,0.974778598638795
"NIC","country","total","all",6545502,1,NA,NA,NA,NA,0.388510074422342,0.260731855049192,0.106819762671152,0.279673622173095,NA,NA,0.238002798421808,0.114041335344483,0.220671906220462,0.220671906220462,NA,NA,NA,NA,NA,NA,0.0773738261056201,0.349910133907627,NA,0.928915551644629
"PAN","country","total","all",4246439,1,NA,NA,NA,NA,NA,0.928104261850433,0.00762632240430491,0.00762632240430491,0.838128880758798,0.932252981238375,NA,0.751170095751746,0,0.220431222774029,0,0.729608957050295,0,0.20264402418808,NA,0.824022886125149,0.0283986814742248,NA,0,0.935730584254738
